需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
五险两金核算二期,人力数字化,数字化领域赋能,薪委会数字化,薪酬数字化专项,二次封顶保底等部分优化,2025,2025/06/01,2025/06/30,P1,630,孟方,孟方,吴荣坤,,结项,,,,,,人力,5.6,2,280.00%,,,0,0,,0.0,,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/09/09,非交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,吴荣坤,开发团队B,已确认,,2025/09/09,,,,,,,,,,,,,,,,,,2025/09/09,非交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,吴荣坤,,,2025/09/09,
生成支付单性能优化,人力数字化,数字化领域赋能,薪委会数字化,薪酬数字化专项,生成支付单性能优化,2025,2025/08/14,2025/09/30,P2,830,郭广勇,郭广勇,吴荣坤,吴荣坤,挂起/取消,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,5.6,5,112.00%,,,0,0,,5.0,112%,,,,,,,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/08/19,交付与质量中心,,,挂起/取消,false,,,5.6,,2026/01/04 08:57,5.6,,吴荣坤,开发团队B,已确认,,2025/08/19,,,,,,,,,,,,,,,,,,2025/08/19,交付与质量中心,,,挂起/取消,false,,,5.6,,2026/01/04 08:57,5.6,,吴荣坤,,,2025/08/19,
学校邮件优化,人力数字化,数字化领域赋能,薪委会数字化,薪酬数字化专项,薪酬报表优化,2025,,2025/10/30,P1,630,李莉,李莉,吴荣坤,吴荣坤,结项,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,5.6,2,280.00%,,,0,0,,2.0,280%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/09/09,交付与质量中心,,,开发完成,false,,,5.6,,2026/01/04 08:57,5.6,,吴荣坤,开发团队B,已确认,,2025/09/09,,,,,,,,,,,,,,,,,,2025/09/09,交付与质量中心,,,开发完成,false,,,5.6,,2026/01/04 08:57,5.6,,吴荣坤,,,2025/09/09,
月度工资审核里在岗天数增加,人力数字化,数字化领域赋能,薪委会数字化,薪酬数字化专项,薪酬报表优化,2025,2025/06/15,2025/06/20,P1,630,李莉,李莉,吴荣坤,吴荣坤,结项,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,5.6,2,280.00%,,,0,0,,0.7,800%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/09/09,交付与质量中心,,,开发完成,false,,,1.8,,2026/01/04 08:57,1.8,,吴荣坤,开发团队B,已确认,,2025/09/09,,,,,,,,,,,,,,,,,,2025/09/09,交付与质量中心,,,开发完成,false,,,1.8,,2026/01/04 08:57,1.8,,吴荣坤,,,2025/09/09,
汇兑损益抵消逻辑取消,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,HFM功能优化升级,2025,2025/07/16,2025/07/31,P0,730,陆立垚,高晓艺,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,5.5,,,,,,5687,2025/06/30,0.0,,,,S00806,海尔全球合并报表平台,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/08/14,交付与质量中心,,否,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,会计数字化子链群,,,2025/08/14,,,,,,,,,,,,,,,,,,2025/08/14,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,,,2025/08/14,
全流程退休人员补贴模块新增获取云大厅关于退休人员的社保状态，及时更新退休人员状态，防止多发住房补贴采购条目费用测算（开发订单）v1.2_全流程退休人员补贴模块新增获取云大厅关于退休人员的社保状态，及时更新退休人员状态，防止多发住房补贴.xlsx,人力数字化,数字化领域赋能,薪委会数字化,薪酬数字化专项,868-全流程退休人员补贴模块新增获取云大厅关于退休人员的社保状态,2025,,2025/12/12,,1230,李莉,李莉,吴荣坤,,规划,,,A类-端到端交付模式,Level2 - 会话模式辅助开发,,人力,5.17,3,172.33%,,,,,,0.0,,,,,,,,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,孟方,薪酬时间,,,2025/10/24,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,孟方,,,2025/10/24,
区域工资智能稽核切换,财资数字化,数字化赋能领域,财资数字化,PTP场景智能化升级,国内财务智能稽核,2025,2025/08/01,2025/08/15,P0,830,何喜岩,何喜岩,赵化烙,赵化烙,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,,,2.5,200%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/08/01,交付与质量中心,,是,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,何喜岩,会计数字化子链群,,,2025/08/01,,,,,,,,,,,,,,,,暂无,,2025/08/01,交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,何喜岩,,,2025/08/01,
AI驱动的系统国际化改造实现,财资数字化,数字化赋能领域,财资数字化,财务数字化平台建设,财务数字化平台建设：无边界，实现拼装式应用组装,2025,2025/06/20,2025/06/30,P0,630,刘晓红,马素英,崔斌,崔斌,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,,0,,3.0,167%,2200,,S02004,财务云,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/16,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,崔斌,开发团队A,已确认,,2025/07/16,,,,,,,,,,,,,,,,暂无,,2025/07/16,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,崔斌,,,2025/07/16,
财资项目资产化析出,财资数字化,数字化赋能领域,财资数字化,财资智能化全景图及重构推进,资产化析出,2025,2025/06/09,2025/06/15,P0,630,刘雯方,,"赵化烙,朱广聪",赵化烙,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,,0,,5.0,100%,0,20250615析出完成,S03217,稽核中心,,,,,,,0,0,,:0:2,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发完成,false,,,7.0,,2026/01/04 08:57,7.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发完成,false,,,7.0,,2026/01/04 08:57,7.0,,赵晨,,,2025/07/08,
HFM法人公司自动提交功能开发,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,HFM功能优化升级,2025,2025/04/23,2025/05/31,P0,530,陆立垚,高晓艺,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,5,,,,,,5170,2025/04/22,0.0,,,,S00806,海尔全球合并报表平台,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/08/14,交付与质量中心,,否,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,会计数字化子链群,,,2025/08/14,,,,,,,,,,,,,,,,,,2025/08/14,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,高晓艺,,,2025/08/14,
待办卡片融入数字化平台并联排查并形成落地文档,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,财务云能力迭代,2025,2025/06/02,2025/06/30,P0,630,刘晓红,马素英,孙乐磊,,结项,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,,,,0.0,,20,,S02004,财务云,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发完成,false,,,0.0,5,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
S03031迁移黄岛机房,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,财务云能力迭代,2025,2025/07/18,2025/07/31,P0,730,刘晓红,王鑫,孙乐磊,孙乐磊,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,,,1.0,500%,,,S02004,财务云,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/22,交付与质量中心,,是,开发完成,false,基础设施类,"中间件迁移, 数据迁移, 应用迁移",2.0,5,2026/01/04 08:57,2.0,,孙乐磊,开发团队A,未确认,,2025/07/22,,,,,,,,,,,,,,,,暂无,,2025/07/22,交付与质量中心,,,开发完成,false,,,2.0,,2026/01/04 08:57,2.0,,孙乐磊,,,2025/07/22,
财务云无合同报账审批,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,财务云能力迭代,2025,2025/06/10,2025/07/17,P1,730,刘晓红,王鑫,黄伟雄,,挂起/取消,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,,,,0.0,,,,S02004,财务云,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
财务云无合同报账审批630迭代,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,财务云能力迭代,2025,2025/06/24,2025/06/30,P1,630,刘晓红,王鑫,黄伟雄,,挂起/取消,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,,,,0.0,,,,S02004,财务云,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/16,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,王鑫,质量运营数字化子链群,,,2025/07/16,,,,,,,,,,,,,,,,,,2025/07/16,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,王鑫,,,2025/07/16,
"优先级1：在这个清单里的，根据清单里的审批人配置。优先级2：经营场景，K0000（含K0000)下面的所有的节点，宋尚宜；G1133下面所有的节点，张梅。法定场景，H040330节点（不含H040330),下面所有的节点，宋尚宜。优先级3(原逻辑）：走上个月的节点提交人。",财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,合并报表提效，新并购公司上平台、并购日股权及评估增值等抵消能力优化,2025,2025/07/01,2025/07/10,P0,730,陆立垚,"高晓艺,崔斌",崔斌,崔斌,挂起/取消,32%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,,,0.0,,,,S03031,财资基础能力,,,,,,,,,,:2:1,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,4.0,,2026/01/04 08:57,4.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,4.0,,2026/01/04 08:57,4.0,,赵晨,,,2025/07/08,
月结账期自动配置,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,会计引擎能力迭代,2025,2025/09/22,2025/09/23,P2,930,梁丽英,梁丽英,朱传浩,朱传浩,结项,100%,,C类-包资源模式,Level3 - 资产生效模式,Cursor,财资,5,2,250.00%,,,,,,2.0,250%,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/05,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,开发团队A,已确认,,2025/09/05,,,,,,,,,,,,,,,,暂无,,2025/09/05,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,,,2025/09/05,
CANY-OTC海外记账,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,会计引擎能力迭代,2025,2025/07/21,2025/08/30,P0,830,陆立垚,陆立垚,朱传浩,朱传浩,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,3,166.67%,,,,,,3.0,167%,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/13,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,开发团队A,已确认,,2025/07/13,,,,,,,,,,,,,,,,暂无,,2025/07/13,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,,,2025/07/13,
IT费用转资新增审批和逆向流程,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,会计引擎能力迭代,2025,2025/08/18,2025/08/22,P1,830,陆立垚,陆立垚,"朱传浩,孟家男","朱传浩
孟家男",验证,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Claude+Cursor,财资,5,,,,,,,,6.5,77%,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/08/15,交付与质量中心,,是,开发完成,false,,,13.0,,2026/01/04 08:57,13.0,,朱传浩,开发团队A,已确认,,2025/08/15,,,,,,,,,,,,,,,,暂无,,2025/08/15,交付与质量中心,,,开发完成,false,,,13.0,,2026/01/04 08:57,13.0,,朱传浩,,,2025/08/15,
会计引擎数据库升级(慢sql梳理，日志精简、拆分),财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,会计引擎能力迭代,2025,2025/07/25,2025/07/29,P0,730,陆立垚,陆立垚,朱传浩,朱传浩,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2.5,200.00%,,,,,,2.5,200%,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/10,交付与质量中心,,是,开发完成,false,技术架构优化类,数据库开发,5.0,,2026/01/04 08:57,5.0,,朱传浩,开发团队A,已确认,,2025/07/10,,,,,,,,,,,,,,,,暂无,,2025/07/10,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,,,2025/07/10,
会计引擎预提现状梳理，迭代优化,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,会计引擎能力迭代,2025,2025/09/15,2025/09/30,P0,930,陆立垚,陆立垚,朱传浩,朱传浩,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2.5,200.00%,,,,,,2.5,200%,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/23,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,开发团队A,已确认,,2025/09/23,,,,,,,,,,,,,,,,暂无,,2025/09/23,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,,,2025/09/23,
生物医疗返利预提对接,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,会计引擎能力迭代,2025,,2025/10/31,P1,1230,陆立垚,陆立垚,朱传浩,,挂起/取消,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2,250.00%,,,,,,0.0,,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/09/15,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,朱传浩,开发团队A,已确认,,2025/09/15,,,,,,,,,,,,,,,,,,2025/09/15,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,朱传浩,,,2025/09/15,
新加坡IT费用资本化,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,会计引擎能力迭代,2025,2025/09/24,2025/09/30,P0,930,陆立垚,陆立垚,朱传浩,朱传浩,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,3,166.67%,,,,,,3.0,167%,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/05,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,开发团队A,已确认,,2025/09/05,,,,,,,,,,,,,,,,暂无,,2025/09/05,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,朱传浩,,,2025/09/05,
11月AI稽核场景上线,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/11/11,2025/11/30,P0,1130,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,,C类-包资源模式,,,财资,30,10,300.00%,,,0,,,15.0,200%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/11/04,交付与质量中心,,,开发完成,false,,,43.0,,2026/01/04 08:57,43.0,,刘艳,质量运营数字化子链群,,,2025/11/04,,,,,,,,,,,,,,,,暂无,,2025/11/04,交付与质量中心,,,开发完成,false,,,43.0,,2026/01/04 08:57,43.0,,刘艳,,,2025/11/04,
智能稽核迭代升级（基于One OCR平台）,财资数字化,,,共享平台能力迭代,稽核中心能力迭代,2025,2025/12/01,2026/01/23,P0,1230,刘晓红,刘艳,赵化烙,赵化烙,开发,90%,,C类-包资源模式,,,财资,,,,,,,,,27.5,0%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/02,交付与质量中心,,,开发中,true,,,85.0,,2026/01/04 08:57,85.0,,刘艳,质量运营数字化子链群,,,2025/12/02,,,,,,,,,,,,,,,,暂无,,2025/12/02,交付与质量中心,,,开发中,true,,,85.0,,2026/01/04 08:57,85.0,,刘艳,,,2025/12/02,
AI审核中紧急优化,财资数字化,,,共享平台能力迭代,稽核中心能力迭代,2025,2025/12/01,2025/12/10,P0,1230,刘晓红,刘艳,赵化烙,,开发设计,,,C类-包资源模式,,,财资,,,,,,,,,0.0,,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/12/09,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,刘艳,质量运营数字化子链群,,,2025/12/09,,,,,,,,,,,,,,,,,,2025/12/09,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,刘艳,,,2025/12/09,
劳务费-工资流程整改需求,财资数字化,,,共享平台能力迭代,稽核中心能力迭代,2025,2025/12/15,2026/01/09,P0,1230,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,,C类-包资源模式,,Cursor,财资,,,,,,,,,3.0,0%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/16,交付与质量中心,,,开发完成,false,,,9.0,,2026/01/04 08:57,9.0,,刘艳,质量运营数字化子链群,,,2025/12/16,,,,,,,,,,,,,,,,暂无,,2025/12/16,交付与质量中心,,,开发完成,false,,,9.0,,2026/01/04 08:57,9.0,,刘艳,,,2025/12/16,
12月AI稽核场景,财资数字化,,,共享平台能力迭代,稽核中心能力迭代,2025,2025/12/01,2025/12/26,P0,1230,刘晓红,刘艳,赵化烙,赵化烙,需求设计,100%,,C类-包资源模式,,,财资,14,14,100.00%,,,,,,11.0,127%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/11/12,交付与质量中心,,,需求设计,false,,,33.0,,2026/01/04 08:57,33.0,,刘艳,质量运营数字化子链群,,,2025/11/12,,,,,,,,,,,,,,,,暂无,,2025/11/12,交付与质量中心,,,需求设计,false,,,33.0,,2026/01/04 08:57,33.0,,刘艳,,,2025/11/12,
驾驶舱2.0建设,财资数字化,,,共享平台能力迭代,稽核中心能力迭代,2025,2025/12/01,2025/12/26,P0,1230,刘晓红,刘艳,孟家男,孟家男,发布,100%,,C类-包资源模式,,Cursor,财资,,,,,,,,,12.0,0%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/12/09,交付与质量中心,,,开发完成,false,,,26.0,,2026/01/07 09:34,26.0,,刘艳,质量运营数字化子链群,,,2025/12/09,,,,,,,,,,,,,,,,暂无,,2025/12/09,交付与质量中心,,,开发完成,false,,,26.0,,2026/01/07 09:34,26.0,,刘艳,,,2025/12/09,
驾驶手动统计的数据做线上导入,财资数字化,,,共享平台能力迭代,稽核中心能力迭代,2025,2025/12/01,2026/01/22,P0,1230,刘晓红,刘艳,赵化烙,孟家男,需求设计,100%,,C类-包资源模式,,,财资,7,7,100.00%,,,,,,2.0,350%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/11/12,交付与质量中心,,,需求设计,false,,,4.0,,2026/01/04 08:57,4.0,,刘艳,质量运营数字化子链群,,,2025/11/12,,,,,,,,,,,,,,,,暂无,,2025/11/12,交付与质量中心,,,需求设计,false,,,4.0,,2026/01/04 08:57,4.0,,刘艳,,,2025/11/12,
调账单邮件发送优化,财资数字化,,,共享平台能力迭代,稽核中心能力迭代,2025,2025/12/01,2025/12/26,P0,1230,刘晓红,刘艳,赵化烙,赵化烙,发布,81%,,C类-包资源模式,,,财资,4,4,100.00%,,,,,,2.0,200%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/11/12,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,刘艳,质量运营数字化子链群,,,2025/11/12,,,,,,,,,,,,,,,,暂无,,2025/11/12,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,刘艳,,,2025/11/12,
共享审核优化,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/11/04,2025/11/30,P0,1130,刘晓红,刘艳,"孟家男,赵化烙",,发布,,,C类-包资源模式,,,财资,5,3,166.67%,,,0,,,0.0,,,,S03217,稽核中心,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,,,2025/11/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/07 09:35,0.0,,刘艳,质量运营数字化子链群,,,2025/11/04,,,,,,,,,,,,,,,,,,2025/11/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/07 09:35,0.0,,刘艳,,,2025/11/04,
共享运营功能板块埋点,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/11/03,2025/11/30,P0,1130,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,,C类-包资源模式,,,财资,5,3,166.67%,,,0,,,1.0,500%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/11/04,交付与质量中心,,,开发完成,false,,,3.0,,2026/01/04 08:57,3.0,,刘艳,质量运营数字化子链群,,,2025/11/04,,,,,,,,,,,,,,,,暂无,,2025/11/04,交付与质量中心,,,开发完成,false,,,3.0,,2026/01/04 08:57,3.0,,刘艳,,,2025/11/04,
稽核中心-SAP转货款需求,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/06/06,2025/07/11,P0,730,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,,,2.0,250%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发完成,false,业务流程优化类,"表单开发, 规则开发",3.0,,2026/01/04 08:57,3.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发完成,false,,,3.0,,2026/01/04 08:57,3.0,,赵晨,,,2025/07/08,
稽核中心-和新资金对接OBD代收代付需求,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/06/20,2025/07/11,P0,730,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,用户：待另外2个代收代付场景测试通过后一起发版,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,0,,2.0,250%,241,20250623接口对接完成，待外部系统联调,S03217,稽核中心,,,,,,,0,0,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发完成,false,系统集成类,接口开发,4.0,,2026/01/04 08:57,4.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发完成,false,,,4.0,,2026/01/04 08:57,4.0,,赵晨,,,2025/07/08,
稽核中心-审核页面展示票验结果,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/06/03,2025/06/10,P0,630,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,0,,3.0,167%,236,20250610已发版,S03217,稽核中心,,,,,,,0,0,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,赵晨,,,2025/07/08,
家居到WBS号校验供应商余额,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/11/04,2025/12/19,P0,1230,刘晓红,刘艳,赵化烙,,需求设计,,,C类-包资源模式,,,财资,5,2,250.00%,,,0,,,0.0,,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/11/04,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,刘艳,质量运营数字化子链群,,,2025/11/04,,,,,,,,,,,,,,,,,,2025/11/04,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,刘艳,,,2025/11/04,
